Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,Calories_y,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal,HR_mean,HR_max,HR_min,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000328,1970-01-01 00:00:00.000000728,1985,1985,1970-01-01 00:00:00.000000728,1970-01-01 00:00:00.000000328,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000025,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,,,,1.0,1970-01-01 00:00:00.000000327,1970-01-01 00:00:00.000000346
1503960366,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000217,1970-01-01 00:00:00.000000776,1797,1797,1970-01-01 00:00:00.000000776,1970-01-01 00:00:00.000000217,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000021,0.0,4.71000003814697,0.689999997615814,1.57000005245209,10735,,,,2.0,1970-01-01 00:00:00.000000384,1970-01-01 00:00:00.000000407
1503960366,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000181,1970-01-01 00:00:00.000001218,1776,1776,1970-01-01 00:00:00.000001218,1970-01-01 00:00:00.000000181,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000030,0.0,3.91000008583069,0.400000005960464,2.44000005722046,10460,,,,,,
1503960366,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000209,1970-01-01 00:00:00.000000726,1745,1745,1970-01-01 00:00:00.000000726,1970-01-01 00:00:00.000000209,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000029,0.0,2.82999992370605,1.25999999046326,2.14000010490417,9762,,,,1.0,1970-01-01 00:00:00.000000412,1970-01-01 00:00:00.000000442
1503960366,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000221,1970-01-01 00:00:00.000000773,1863,1863,1970-01-01 00:00:00.000000773,1970-01-01 00:00:00.000000221,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000036,0.0,5.03999996185303,0.409999996423721,2.71000003814697,12669,,,,2.0,1970-01-01 00:00:00.000000340,1970-01-01 00:00:00.000000367
1503960366,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000164,1970-01-01 00:00:00.000000539,1728,1728,1970-01-01 00:00:00.000000539,1970-01-01 00:00:00.000000164,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000038,0.0,2.50999999046326,0.779999971389771,3.19000005722046,9705,,,,1.0,1970-01-01 00:00:00.000000700,1970-01-01 00:00:00.000000712
1503960366,2016-04-18,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000233,1970-01-01 00:00:00.000001149,1921,1921,1970-01-01 00:00:00.000001149,1970-01-01 00:00:00.000000233,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000042,0.0,4.71000003814697,0.639999985694885,3.25,13019,,,,,,
1503960366,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000264,1970-01-01 00:00:00.000000775,2035,2035,1970-01-01 00:00:00.000000775,1970-01-01 00:00:00.000000264,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000050,0.0,5.03000020980835,1.32000005245209,3.52999997138977,15506,,,,1.0,1970-01-01 00:00:00.000000304,1970-01-01 00:00:00.000000320
1503960366,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000205,1970-01-01 00:00:00.000000818,1786,1786,1970-01-01 00:00:00.000000818,1970-01-01 00:00:00.000000205,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000028,0.0,4.23999977111816,0.479999989271164,1.96000003814697,10544,,,,1.0,1970-01-01 00:00:00.000000360,1970-01-01 00:00:00.000000377
1503960366,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000211,1970-01-01 00:00:00.000000838,1775,1775,1970-01-01 00:00:00.000000838,1970-01-01 00:00:00.000000211,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000019,0.0,4.65000009536743,0.349999994039536,1.3400000333786,9819,,,,1.0,1970-01-01 00:00:00.000000325,1970-01-01 00:00:00.000000364
