Id,ActivityDate,DayOfWeekNum,IsWeekend,TotalSteps,TotalActiveMinutes,SedentaryMinutes,Calories,Activity_Score,Sleep_Score,Nutrition_Score,Overall_Health_Score
1503960366,2016-04-12,1,0,0.3654182514783864,0.6630434782608696,0.5055555555555555,0.40510204081632656,84.83333333333333,82.85260115606937,100.0,87.07437379576108
1503960366,2016-04-13,2,0,0.2980371470612732,0.46557971014492755,0.5388888888888889,0.36673469387755103,83.83333333333333,92.3046683046683,99.7,90.39520065520065
1503960366,2016-04-14,3,0,0.29040228768150145,0.40217391304347827,0.8458333333333333,0.36244897959183675,80.0,,97.6,87.17255984571852
1503960366,2016-04-15,4,0,0.27102362641938976,0.4927536231884058,0.5041666666666667,0.35612244897959183,83.923,96.63046757164403,94.5,91.12138702865762
1503960366,2016-04-16,5,1,0.3517310308448319,0.483695652173913,0.5368055555555555,0.38020408163265307,83.89583333333333,84.45958219800181,100.0,87.34216621253405
1503960366,2016-04-17,6,1,0.2694411282934007,0.40217391304347827,0.37430555555555556,0.3526530612244898,87.59083333333332,72.82771535580525,92.8,82.72741947565544
1503960366,2016-04-18,0,0,0.3614481246009051,0.5271739130434783,0.7979166666666667,0.39204081632653065,80.0,,100.0,87.65255984571853
1503960366,2016-04-19,1,0,0.4304950165190594,0.625,0.5381944444444444,0.41530612244897963,83.85416666666667,79.16666666666666,100.0,85.20833333333334
1503960366,2016-04-20,2,0,0.292734390182959,0.44384057971014496,0.5680555555555555,0.3644897959183674,82.95833333333333,88.64721485411141,98.6,88.36221927497789
1503960366,2016-04-21,3,0,0.27260612454537886,0.4311594202898551,0.5819444444444445,0.3622448979591837,81.81766666666667,80.95238095238096,97.5,84.60801904761905
1503960366,2016-04-22,4,0,0.35436852772148036,0.40398550724637683,0.8451388888888889,0.3728571428571429,80.0,,100.0,87.65255984571853
1503960366,2016-04-23,5,1,0.39898386962436494,0.5869565217391305,0.5083333333333333,0.3977551020408163,84.75,88.36979166666667,100.0,89.24791666666667
1503960366,2016-04-24,6,1,0.27871401204919627,0.5108695652173914,0.49236111111111114,0.36489795918367346,85.22916666666667,98.73051224944321,98.8,93.34387156644395
1503960366,2016-04-25,0,0,0.4263027846414393,0.5489130434782609,0.5652777777777778,0.4108163265306123,83.04166666666667,71.89422084623322,100.0,81.97435500515996
1503960366,2016-04-26,1,0,0.3818817846136761,0.6032608695652174,0.5784722222222223,0.4020408163265306,82.64583333333333,67.65815085158151,100.0,80.12159367396593
1503960366,2016-04-27,2,0,0.5034565090646603,0.6014492753623188,0.7694444444444445,0.4406122448979592,80.0,,100.0,87.65255984571853
1503960366,2016-04-28,3,0,0.3651961464782476,0.48007246376811596,0.5430555555555556,0.38734693877551024,83.70833333333333,88.93893129770993,100.0,89.0589058524173
1503960366,2016-04-29,4,0,0.3104195008190122,0.49094202898550726,0.5659722222222222,0.37489795918367347,83.02083333333333,85.7316384180791,100.0,87.50098870056497
1503960366,2016-04-30,5,1,0.4073683333796052,0.5489130434782609,0.49444444444444446,0.3973469387755102,85.16666666666667,95.85098039215686,100.0,92.40705882352941
1503960366,2016-05-01,6,1,0.29434465143396543,0.5688405797101449,0.5069444444444444,0.37142857142857144,84.79166666666667,89.45454545454545,100.0,89.69848484848485
1503960366,2016-05-02,0,0,0.4088675421305422,0.6032608695652174,0.5541666666666667,0.4089795918367347,83.375,73.0598705501618,100.0,82.57394822006472
1503960366,2016-05-03,1,0,0.4193064771370666,0.5942028985507246,0.5666666666666667,0.4061224489795919,83.0,73.16891891891892,100.0,82.46756756756757
1503960366,2016-05-04,2,0,0.3081706876926067,0.47282608695652173,0.81875,0.3712244897959184,80.0,,100.0,87.65255984571853
